subject,relation,object,subject_uri,relation_uri,object_uri,object_type
Yahoo,answer,Apple,http://example.org/entity/Yahoo,http://example.org/relation/answer,http://example.org/entity/Apple,entity
Yahoo,answer,WolframAlpha,http://example.org/entity/Yahoo,http://example.org/relation/answer,http://example.org/entity/WolframAlpha,entity
Yahoo,semanticSearchAssistant,Google,http://example.org/entity/Yahoo,http://example.org/relation/semanticSearchAssistant,http://example.org/entity/Google,entity
Yahoo,semanticSearchAssistant,Microsoft,http://example.org/entity/Yahoo,http://example.org/relation/semanticSearchAssistant,http://example.org/entity/Microsoft,entity
Zendejas,etAl,2013,http://example.org/entity/Zendejas,http://example.org/relation/etAl,,literal
Zheng,see,"January 9, 2022",http://example.org/entity/Zheng,http://example.org/relation/see,http://example.org/entity/January_9%2C_2022,entity
Zhou,etAl,2020,http://example.org/entity/Zhou,http://example.org/relation/etAl,,literal
annual,become,Taipei,http://example.org/entity/annual,http://example.org/relation/become,http://example.org/entity/Taipei,entity
annually,estimate,U.S.,http://example.org/entity/annually,http://example.org/relation/estimate,http://example.org/entity/U.S.,entity
annually,hold,2012,http://example.org/entity/annually,http://example.org/relation/hold,,literal
buildingSMART,call,1989,http://example.org/entity/buildingSMART,http://example.org/relation/call,,literal
buildingSMART,call,Mediaconstruct,http://example.org/entity/buildingSMART,http://example.org/relation/call,http://example.org/entity/Mediaconstruct,entity
buildingSMART,merge,BIM,http://example.org/entity/buildingSMART,http://example.org/relation/merge,http://example.org/entity/BIM,entity
buildingSMART Canada,canadianChapter,buildingSMART International).[117,http://example.org/entity/buildingSMART_Canada,http://example.org/relation/canadianChapter,http://example.org/entity/buildingSMART_International%29.%5B117,entity
buildingSMART Norway,represent,Poland,http://example.org/entity/buildingSMART_Norway,http://example.org/relation/represent,http://example.org/entity/Poland,entity
early 1980s,fall,1983,http://example.org/entity/early_1980s,http://example.org/relation/fall,,literal
early 1980s,fall,1985,http://example.org/entity/early_1980s,http://example.org/relation/fall,,literal
early 1980s,include,Chuck Eastman's,http://example.org/entity/early_1980s,http://example.org/relation/include,http://example.org/entity/Chuck_Eastman%27s,entity
early 1980s to 1990s,editAdvanceTechnology,the 1980s,http://example.org/entity/early_1980s_to_1990s,http://example.org/relation/editAdvanceTechnology,http://example.org/entity/the_1980s,entity
early 2000s–present,adventVirtualCinematography,the early 2000s,http://example.org/entity/early_2000s%E2%80%93present,http://example.org/relation/adventVirtualCinematography,http://example.org/entity/the_early_2000s,entity
early 2018,italian,Ministry of Infrastructure and Transport,http://example.org/entity/early_2018,http://example.org/relation/italian,http://example.org/entity/Ministry_of_Infrastructure_and_Transport,entity
